Location Name;Address
Reading Terminal Market;51 N 12th St, Philadelphia, PA 19107
Rivers Casino;1001 N Delaware Ave, Philadelphia, PA 19125
Independence Visitor Center;599 Market St, Philadelphia, PA 19106
Liberty Bell Center;526 Market St, Philadelphia, PA 19106
Philadelphia Zoo;3400 W Girard Ave, Philadelphia, PA 19104
Franklin Square;200 N 6th St, Philadelphia, PA 19106
The Franklin Institute;222 N 20th St, Philadelphia, PA 19103
Philadelphia Museum of Art;2600 Benjamin Franklin Pkwy, Philadelphia, PA 19130
Independence Hall;520 Chestnut St, Philadelphia, PA, 19106
Please Touch Museum;4231 Avenue of the Republic, Philadelphia, PA 19131
Eastern State Penitentiary;2027 Fairmount Ave, Philadelphia, PA 19130
Museum of the American Revolution;101 S 3rd St, Philadelphia, PA 19106
Congress Hall;Congress Hall, Philadelphia, PA 19106
National Constitution Center;525 Arch St, Philadelphia, PA 19106
The Academy of Natural Sciences of Drexel University;1900 Benjamin Franklin Pkwy, Philadelphia, PA 19103
Barnes Foundation;2025 Benjamin Franklin Pkwy, Philadelphia, PA 19130
Penn Museum;3260 South St, Philadelphia, PA 19104
National Liberty Museum;321 Chestnut St, Philadelphia, PA 19106
The African American Museum in Philadelphia;701 Arch St, Philadelphia, PA 19106
National Museum of American Jewish History;101 S Independence Mall E, Philadelphia, PA 19106
Battleship New Jersey;100 Clinton St, Camden, NJ 08103
Independence Seaport Museum;211 S Christopher Columbus Blvd, Philadelphia, PA 19106
Philadelphia's Magic Gardens;1020 South St, Philadelphia, PA 19147
Carpenters' Hall;320 Chestnut St, Philadelphia, PA 19106
LOVE Park;Arch St, Philadelphia, PA 19102
Temple University;1801 N Broad St, Philadelphia, PA 19122
Drexel University;3141 Chestnut St, Philadelphia, PA 19104
University of Pennsylvania;3451 Walnut St Philadelphia, PA 19104
Philadelphia City Hall;1400 John F Kennedy Blvd, Philadelphia, PA 19107
Dilworth Park;1 S 15th St, Philadelphia, PA 19102
Lincoln Financial Field;1020 Pattison Ave, Philadelphia, PA 19148
Wells Fargo Center;3601 S Broad St, Philadelphia, PA 19148
Citizens Bank Park;1 Citizens Bank Way, Philadelphia, PA 19148
Talen Energy Stadium;1 Stadium Drive Chester, PA 19013
30th Street Station;2955 Market St, Philadelphia, PA 19104
Philadelphia International Airport;8000 Essington Ave, Philadelphia, PA 19153
